FIELD_LABELS,t4,t533,t7,t9,t12,t16,t19,t21,t25,e
FIELD_COLORS,#fde725,#440154,#482173,#433e85,#38588c,#2d708e,#25858e,#1e9b8a,#2ab07f,#52c569

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
ph057,  0,  0,  0,  2.44562739548274,  0,  0,  0,  0,  0,  0
ph058,  2.19077286853788,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph060,  0,  0,  0,  2.49726106907876,  0,  0,  0,  0,  0,  0
ph061,  3.24290732212299,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph062,  0,  0,  0,  2.45058443389751,  0,  0,  0,  0,  0,  0
ph064,  3.21883927731628,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph065,  0,  0,  0,  2.2672736022484,  0,  0,  0,  0,  0,  0
ph067,  0,  0,  0,  0,  2.86321989657642,  0,  0,  0,  0,  0
ph068,  0,  0,  1.74249134062781,  0,  0,  0,  0,  0,  0,  0
ph069,  0,  0,  0,  2.29737486052832,  0,  0,  0,  0,  0,  0
ph070,  0,  0,  1.95791459863299,  0,  0,  0,  0,  0,  0,  0
ph071,  0,  0,  0,  0,  2.72868243181607,  0,  0,  0,  0,  0
ph072,  0,  0,  1.7415748474188,  0,  0,  0,  0,  0,  0,  0
ph073,  0,  0,  0,  2.49089097889429,  0,  0,  0,  0,  0,  0
ph075,  0,  0,  0,  0,  2.75478063190594,  0,  0,  0,  0,  0
ph077,  0,  0,  0,  2.36078564490772,  0,  0,  0,  0,  0,  0
ph078,  0,  0,  0,  0,  0,  0,  0,  4.39576546222267,  0,  0
ph080,  0,  0,  0,  0,  2.71408062881048,  0,  0,  0,  0,  0
ph081,  0,  0,  0,  0,  0,  0,  4.07725368235737,  0,  0,  0
ph082,  0,  0,  0,  0,  0,  0,  0,  4.45310598038788,  0,  0
ph083,  0,  0,  0,  0,  0,  0,  4.05161137086315,  0,  0,  0
ph084,  0,  0,  0,  2.42482133783243,  0,  0,  0,  0,  0,  0
ph085,  0,  0,  0,  2.28095631383106,  0,  0,  0,  0,  0,  0
ph086,  3.21887801570415,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph087,  0,  0,  0,  0,  0,  0,  4.09890585982413,  0,  0,  0
ph088,  0,  0,  0,  2.2424500736777,  0,  0,  0,  0,  0,  0
ph089,  0,  0,  0,  0,  0,  0,  4.15087441945214,  0,  0,  0
ph090,  0,  0,  0,  2.21233587416207,  0,  0,  0,  0,  0,  0
ph091,  2.07013168077206,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph092,  2.07013168077206,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph093,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5.44341188112828
ph094,  0,  0,  0,  0,  0,  0,  0,  4.41382253165209,  0,  0
ph095,  2.68276991294624,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph096,  0,  0,  0,  0,  0,  0,  0,  4.3885339790918,  0,  0
ph097,  0,  0,  0,  2.35705929291685,  0,  0,  0,  0,  0,  0
ph099,  0,  0,  0,  2.27649666564036,  0,  0,  0,  0,  0,  0
ph100,  2.19503256501146,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph101,  0,  0,  0,  0,  2.80302033179371,  0,  0,  0,  0,  0
ph102,  0,  0,  0,  0,  0,  0,  4.14807994541094,  0,  0,  0
ph103,  0,  0,  0,  0,  0,  3.53130347489285,  0,  0,  0,  0
ph104,  0,  0,  0,  0,  0,  3.78880314663844,  0,  0,  0,  0
ph105,  0,  0,  0,  2.46077532216071,  0,  0,  0,  0,  0,  0
ph106,  0,  0,  0,  0,  0,  0,  4.29367395682579,  0,  0,  0
ph107,  3.21354170192656,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph108,  0,  0,  0,  2.24842098260582,  0,  0,  0,  0,  0,  0
ph110,  0,  0,  0,  2.4229729995545,  0,  0,  0,  0,  0,  0
ph111,  0,  0,  0,  0,  0,  0,  0,  0,  4.77431926071688,  0
ph112,  0,  0,  0,  0,  2.96499924500969,  0,  0,  0,  0,  0
ph113,  0,  0,  1.8342561308819,  0,  0,  0,  0,  0,  0,  0
ph114,  2.16245175450887,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph115,  2.11703005301019,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph116,  0,  0,  0,  2.22712493444993,  0,  0,  0,  0,  0,  0
ph117,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4.94498139753191
ph118,  2.68302266506368,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph119,  0,  0,  0,  0,  0,  0,  3.98942288510491,  0,  0,  0
ph120,  2.09241888704746,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph121,  0,  0,  0,  2.40302907156929,  0,  0,  0,  0,  0,  0
ph122,  0,  0,  0,  2.42522429713702,  0,  0,  0,  0,  0,  0
ph123,  0,  0,  0,  0,  0,  0,  4.30469355747101,  0,  0,  0
ph124,  2.11073907025425,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph125,  3.25204091780652,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph126,  0,  0,  0,  2.38660404420245,  0,  0,  0,  0,  0,  0
ph127,  0,  0,  0,  0,  0,  0,  0,  4.38600040970932,  0,  0
ph129,  0,  0,  0,  2.32876467228402,  0,  0,  0,  0,  0,  0
ph130,  0,  0,  0,  2.30928534610913,  0,  0,  0,  0,  0,  0
ph131,  0,  0,  0,  2.28584605674942,  0,  0,  0,  0,  0,  0
ph132,  0,  0,  0,  0,  0,  0,  0,  4.41382253165209,  0,  0
ph133,  0,  0,  0,  0,  0,  0,  0,  4.49585502688717,  0,  0
ph134,  0,  1.18578727417525,  0,  0,  0,  0,  0,  0,  0,  0
ph135,  0,  0,  0,  0,  0,  0,  0,  4.46129116841413,  0,  0
ph136,  0,  0,  0,  0,  0,  0,  0,  4.38350558426365,  0,  0
ph137,  0,  0,  0,  2.4363284380468,  0,  0,  0,  0,  0,  0
ph138,  0,  0,  0,  2.43889163207002,  0,  0,  0,  0,  0,  0
ph139,  0,  0,  0,  2.52174175803062,  0,  0,  0,  0,  0,  0
ph140,  0,  0,  0,  2.59997233353952,  0,  0,  0,  0,  0,  0
ph141,  0,  0,  0,  0,  0,  0,  0,  4.3963478986621,  0,  0
ph142,  0,  0,  0,  0,  3.39576546222267,  0,  0,  0,  0,  0
ph144,  0,  0,  0,  2.36786026880608,  0,  0,  0,  0,  0,  0
ph145,  0,  0,  0,  0,  2.84084085330394,  0,  0,  0,  0,  0
ph146,  0,  0,  0,  0,  0,  0,  0,  4.32391944245456,  0,  0
ph147,  0,  0,  0,  0,  0,  0,  0,  4.34793135415142,  0,  0
ph148,  0,  0,  0,  0,  0,  0,  4.32184694100884,  0,  0,  0
ph149,  0,  0,  0,  2.21862619758779,  0,  0,  0,  0,  0,  0
ph150,  0,  1.26918279585539,  0,  0,  0,  0,  0,  0,  0,  0
ph151,  0,  0,  0,  0,  2.8743789466582,  0,  0,  0,  0,  0
ph152,  0,  0,  0,  0,  0,  0,  0,  0,  4.52204005122736,  0
ph153,  0,  0,  0,  2.54061628255125,  0,  0,  0,  0,  0,  0
ph154,  0,  0,  0,  0,  2.78693608702495,  0,  0,  0,  0,  0
ph155,  0,  0,  0,  0,  0,  0,  3.9181238156501,  0,  0,  0
ph156,  0,  0,  0,  2.25527411403529,  0,  0,  0,  0,  0,  0
ph157,  0,  0,  0,  2.45177159301892,  0,  0,  0,  0,  0,  0
ph158,  0,  0,  0,  0,  0,  0,  4.10453585540676,  0,  0,  0
ph159,  0,  0,  0,  2.43569526048961,  0,  0,  0,  0,  0,  0
ph160,  0,  0,  0,  2.22396307314549,  0,  0,  0,  0,  0,  0
ph161,  0,  0,  0,  2.3828055677867,  0,  0,  0,  0,  0,  0
ph162,  0,  0,  0,  0,  0,  0,  4.05580301346242,  0,  0,  0
ph163,  0,  0,  0,  0,  0,  0,  0,  0,  4.80555042521086,  0
ph164,  0,  0,  0,  0,  3.09518600991506,  0,  0,  0,  0,  0
ph165,  0,  0,  0,  0,  0,  0,  0,  4.46587654070294,  0,  0
ph166,  0,  0,  0,  2.33892353087257,  0,  0,  0,  0,  0,  0
ph167,  0,  0,  0,  0,  0,  0,  0,  4.47711872550721,  0,  0
ph168,  0,  0,  0,  0,  0,  0,  0,  4.44636376622302,  0,  0
ph169,  0,  0,  0,  0,  0,  0,  4.28702895733093,  0,  0,  0
ph170,  0,  0,  0,  0,  2.91157175172643,  0,  0,  0,  0,  0
ph171,  0,  0,  0,  0,  0,  0,  4.31822644407684,  0,  0,  0
ph172,  2.67443240302554,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph173,  0,  0,  0,  0,  0,  0,  4.08566896569293,  0,  0,  0
ph174,  0,  0,  0,  0,  0,  0,  0,  4.39569692482716,  0,  0
ph175,  2.68588409859881,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph176,  0,  0,  2.0142213732368,  0,  0,  0,  0,  0,  0,  0
ph177,  0,  0,  0,  2.43399430327836,  0,  0,  0,  0,  0,  0
ph178,  2.07159107310115,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph179,  0,  0,  0,  2.37124519916016,  0,  0,  0,  0,  0,  0
ph180,  0,  0,  0,  0,  2.71188030804098,  0,  0,  0,  0,  0
ph181,  0,  0,  0,  2.35286443553053,  0,  0,  0,  0,  0,  0
ph182,  0,  0,  0,  2.38891277026367,  0,  0,  0,  0,  0,  0
ph183,  0,  0,  0,  2.37743613723517,  0,  0,  0,  0,  0,  0
ph184,  0,  0,  0,  0,  0,  0,  4.28537447446007,  0,  0,  0
ph185,  0,  0,  0,  0,  0,  0,  0,  4.35992522025691,  0,  0
ph186,  2.10956950937069,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph187,  0,  0,  0,  0,  0,  3.46164314807391,  0,  0,  0,  0
ph188,  2.15299460549244,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph189,  0,  0,  0,  0,  2.87031539583288,  0,  0,  0,  0,  0
ph190,  0,  0,  0,  0,  2.89256103046361,  0,  0,  0,  0,  0
ph191,  0,  0,  0,  0,  0,  0,  4.2913825400231,  0,  0,  0
ph192,  2.07437698557417,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph193,  0,  0,  0,  2.42028027320536,  0,  0,  0,  0,  0,  0
ph194,  0,  0,  1.93659082982394,  0,  0,  0,  0,  0,  0,  0
ph195,  0,  0,  0,  0,  2.72497762378389,  0,  0,  0,  0,  0
ph196,  2.69479663661274,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph197,  0,  0,  0,  2.23522922885029,  0,  0,  0,  0,  0,  0
ph198,  0,  0,  0,  0,  0,  0,  0,  4.40894108461504,  0,  0
ph199,  2.60507943418505,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph200,  0,  0,  0,  2.35688328366402,  0,  0,  0,  0,  0,  0
ph201,  2.67151983744411,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph202,  0,  0,  0,  2.26783539209762,  0,  0,  0,  0,  0,  0
ph203,  0,  0,  0,  2.42408228666134,  0,  0,  0,  0,  0,  0
ph204,  0,  0,  0,  0,  0,  3.30801131455218,  0,  0,  0,  0
ph205,  0,  0,  0,  0,  0,  0,  4.06419306192749,  0,  0,  0
ph206,  0,  0,  0,  2.45512991518378,  0,  0,  0,  0,  0,  0
ph207,  0,  1.2290495032379,  0,  0,  0,  0,  0,  0,  0,  0
ph208,  0,  0,  0,  0,  0,  0,  0,  4.38644884802514,  0,  0
ph209,  0,  0,  0,  2.44327511176581,  0,  0,  0,  0,  0,  0
ph211,  0,  0,  0,  2.41257831454289,  0,  0,  0,  0,  0,  0
ph212,  0,  0,  1.9928137408313,  0,  0,  0,  0,  0,  0,  0
ph213,  0,  0,  0,  0,  2.75552855751322,  0,  0,  0,  0,  0
ph216,  2.19436289072759,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph217,  0,  0,  0,  0,  2.89786965194585,  0,  0,  0,  0,  0
ph218,  0,  0,  0,  0,  2.77581436693413,  0,  0,  0,  0,  0
ph219,  0,  0,  0,  0,  0,  3.49920809085669,  0,  0,  0,  0
ph220,  0,  0,  1.81726509726679,  0,  0,  0,  0,  0,  0,  0
ph221,  0,  0,  0,  0,  3.11667665254163,  0,  0,  0,  0,  0
ph222,  2.63343121035563,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph223,  0,  0,  0,  0,  0,  0,  0,  4.47004872601133,  0,  0
ph224,  0,  0,  0,  2.50471572152537,  0,  0,  0,  0,  0,  0
ph225,  0,  0,  0,  2.38225222803847,  0,  0,  0,  0,  0,  0
ph226,  0,  0,  0,  0,  0,  0,  4.115387046162,  0,  0,  0
ph227,  0,  0,  0,  0,  0,  0,  0,  0,  4.77444446119918,  0
ph228,  0,  0,  0,  2.44893397949968,  0,  0,  0,  0,  0,  0
ph229,  0,  0,  0,  0,  2.81452478899382,  0,  0,  0,  0,  0
ph230,  0,  0,  0,  0,  2.71745708933368,  0,  0,  0,  0,  0
ph231,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5.43383160672023
ph232,  0,  0,  0,  0,  2.81444788285685,  0,  0,  0,  0,  0
ph233,  2.19731499947382,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph234,  0,  0,  0,  2.272247192639,  0,  0,  0,  0,  0,  0
ph235,  0,  0,  0,  0,  0,  0,  3.88692808586792,  0,  0,  0
ph236,  0,  0,  0,  2.35512200910098,  0,  0,  0,  0,  0,  0
ph237,  0,  0,  0,  0,  2.98490829379345,  0,  0,  0,  0,  0
ph238,  0,  0,  1.94148196386898,  0,  0,  0,  0,  0,  0,  0
ph239,  0,  0,  0,  2.22380865860602,  0,  0,  0,  0,  0,  0
ph240,  0,  0,  0,  2.26262107461296,  0,  0,  0,  0,  0,  0
ph242,  0,  0,  0,  0,  0,  0,  0,  0,  4.77620929043742,  0
ph243,  0,  0,  0,  0,  0,  0,  0,  4.38182843379953,  0,  0
ph244,  0,  0,  0,  0,  2.76325221054611,  0,  0,  0,  0,  0
ph245,  0,  0,  0,  0,  0,  0,  0,  4.43954834152052,  0,  0
ph246,  0,  0,  0,  0,  0,  0,  4.25228697099979,  0,  0,  0
ph247,  0,  0,  0,  0,  0,  0,  0,  4.3710360522997,  0,  0
ph248,  0,  0,  0,  0,  0,  0,  0,  4.37866767557519,  0,  0
ph249,  0,  0,  0,  0,  2.74340725199067,  0,  0,  0,  0,  0
ph250,  0,  0,  1.82918994931984,  0,  0,  0,  0,  0,  0,  0
ph251,  0,  0,  0,  2.3566720442121,  0,  0,  0,  0,  0,  0
ph252,  0,  0,  0,  2.33084518962341,  0,  0,  0,  0,  0,  0
ph253,  0,  0,  0,  0,  2.91372717300518,  0,  0,  0,  0,  0
ph254,  0,  0,  0,  0,  0,  0,  3.99081875067088,  0,  0,  0
ph255,  0,  0,  0,  2.3828055677867,  0,  0,  0,  0,  0,  0
ph257,  0,  0,  0,  2.5352753766208,  0,  0,  0,  0,  0,  0
